SÕNA,DEFINITSIOON,TASE
edasine,"millelegi järgnev või järgnenud, tulevikus toimuv",B2
edaspidi,"ajaliselt hiljem, edaspidi",B1
edestama,"ette jõudma või ees olema, paremaid tulemusi saavutama",B2
edetabel,paremusjärjestuse tabel,B2
edevus,"välimuses, käitumises vm kajastuv soov äratada tähelepanu ja imetlust",C1
edukalt,"ootuspärase tulemusega, edu tooval moel",B1
edusamm,"teatud edu mingil alal, samm edasi paremuse suunas",B2
eel,vahetult enne,B1
eeldama,"eeltingimusena millegi olemasolu vajama, eeldusena nõudma või arvestama",B1
eelistama,paremaks pidama,B1
eelistus,paremaks pidamine,A2
eelkõige,järjekorras esimesena,B1
eelkäija,"see, kes käib, kõnnib eespool",B2
eelmine,"varem või vahetult enne olnud, toimunud, tehtud, peetud ja nii edasi",A1
eelnema,"millegi eel, varem toimuma, olema või juhtuma",B1
eelnevalt,eelnenud lühema ajavahemiku jooksul,B2
eelolev,"järgmine, see, mis ees ootab, kõige lähemas tulevikus saabub",B2
eelroog,enne esimest sooja rooga pakutav roog,B1
eelviimane,viimasele vahetult eelnev,B1
eemal,"teatava vahemaa taga, mitte lähedal",A2
eemalduma,"kaugemale, eemale liikuma või minema",B2
ees,"kellestki või millestki esikülje, liikumise suunas teatud kauguses",A1
eeskuju,"isik, nähtus, toimimisviis, ese või muu, mida jäljendatakse, mille järgi käiakse või mille järgi tuleks käia",B1
eeskätt,teistest asjadest mingil põhjusel olulisem,B1
eesmärk,"see, mille poole püüeldakse, mida tahetakse saavutada",A2
eest,"eestpoolt küljest, esiküljelt",A1
eestikeelne,eesti keeles kõneldud või kirjutatud,A2
eetiline,eetikasse puutuv,B2
efekt,tugev mulje või mõju,B1
ega,"lause algul esinev eitussõna, harilikult seostab seda teatud määral eelnenud väite või kõnelusega, täh. umbes 'ei ju'",A2
ehe,"kõik see, mis ilustab, kaunistab, mille või kelle üle ollakse uhke",B1
ehitama,"midagi looma, tegema",A1
ehitamine,mingite osade kompleksne kokkupanek või kombineerimine suuremaks tervikuks,B1
ehitis,siseruumidega ehitis,B1
ehitus,"eseme, ehitise või muu terviku koostisosade vastastikune asetus ja liitumise viis",A2
ehk,"osutab oletatavale või loodetavale võimalusele, milles siiski ei olda päris kindel",A2
ehmatama,kedagi ootamatult hirmu tundma panema,B1
ei,"öeldisverbi juurde kuuluv eitussõna, annab kogu lausele eitava sisu",A1
eile,kõnehetkele eelnenud päeval,A1
eilne,"tänasele päevale eelnenud päeval olnud, toimunud, tekkinud jne",B1
eine,söögikord,B2
eirama,"tahtlikult tähele panemata jätma, mitte arvestama",C1
eitama,"salgama, mitte omaks võtma, alusetuks väitma",B1
