SÕNA,DEFINITSIOON,TASE
registratuur,ametlik registreerimisruum või -punkt,B1
registreeruma,"end registreerima, end registreerida laskma",B2
regulatsioon,mingite protsesside korraldamine ja kooskõlastamine,B2
rehv,"sõiduki ratta pöida ümbritsev võru, rõngas",B1
reisija,sõidukis sõitev isik,B1
rekonstrueerima,"säilinud andmete põhjal midagi tõepärasel kujul taastama, millegi algupärast ilmet taaslooma",B2
relv,"riist, vahend ründamiseks, elusolendite ja materiaalsete väärtuste hävitamiseks",B1
renoveerima,korda seadma,B2
reostama,"prahi, risu, rämpsu, solgi, roojaga ja nii edasi räpaseks, saastaseks tegema",B2
reserv,"miski, mis on kogutud vajaduse korral kasutamiseks",B2
residents,"valitsuse, riigipea või muu kõrgema võimukandja asupaik",B2
ressurss,"varud, tagavarad",B1
režiim,looduslike tegurite mõjumise või avaldumise rütm,B2
retsept,mingi segu koostise ja valmistamise kirjeldus,B1
revolutsiooniline,"revolutsioonile omane, sellega seotud, seda toetav",B2
riba,"õhuke, lame materjali- või ainetükk, mis on tunduvalt pikem oma laiusest",B2
rida,kirjapandud teksti horisontaalrida,A2
ridaelamu,"vähekorruseline elamu, millel on eraldi sissekäik igasse korterisse ja iga korteri juurde kuulub temaga külgnev maatükk",B1
riik,usulistes kujutelmades kellegi asupaigana või kellegi valitseda,A2
riiklik,"riigis seadusega kehtestatud või määratud, riigiasutuste korraldatud või organiseeritud",B1
riisuma,"ült, midagi millegi pealt maha võtma",B2
riivama,"kergelt kellegi või millegi vastu minema, korraks vastu puutuma",C1
riivima,riiviga hõõrudes peenestama,B2
rikastama,"rikkaks, varakaks tegema",B2
rikastuma,rikkaks saama,B2
rikkumine,"millegi omaduste, kvaliteedi halvendamine, kahjustamine",B1
rikkus,miski või keegi väärtuslik,B1
rind,rindkere eesmine,A2
ring,ringjoone kujuline või sarnane kujund,A2
ringi,"uuesti üle: teistsuguseks, teise kohta või muu sellise",B1
ringlema,"kohast kohta, käest kätte, isikult isikule liikuma või levima",B2
rippuma,"millegi kohal või üle olema või hõljuma, justkui õhus seisma",B1
risk,"toimimine hea õnne peale, liigjulgus",A2
rist,lõikuvatest sirgjoontest moodustatud kujund või märk,A2
risustama,"risuseks muutma, risuga täitma",C1
rivi,"märgib töötamist, tegutsemist, toimimist",B2
roheline,"muru, puulehtede, taimede värvi",A1
rohi,mitmesuguste heintaimede üldnimetus,A2
rool,"sõidukile, liikurmasinale või laevale soovitud liikumissuuna andmise seade",B1
roolima,rooli abil sõidukit või muu ettenähtud kursil hoidma või vajalikke manöövreid sooritama,B2
roomama,kehaga pinnale toetudes,B1
rooste,raua pinnale oksüdeerumisel tekkiv punakaspruun urbne kiht,B2
roostetama,"kasutamatult, tegevusetult seisma",B2
rula,"kahe rattapaariga lauake, millel seistes sõidetakse",B2
rullima,"midagi ümarat ümber oma keskpunkti või telje liikuma, veerema panema",B2
rumalalt,sobimatu ja kohatul viisil,B1
rusikas,inimese või ahvi peopessa kokkusurutud sõrmedega labakäsi,B1
rusu,"midagi purunenut või purustatut, millegi tükk või jäänus",C1
rusuma,avaldudes või jõudu rakendades survet avaldama,C1
ruuduline,"ruutudeks jagatud, ruutudest koosne",B1
ruum,"piiritu kolmemõõtmeline avarus, milles kõik asub",A1
ruumiline,"ruumiga seotud, seda moodustav, kolmemõõtmeline või sellisena tajutav",B2
ruut,nelinurga kujuline või taoline kujund või ese,B1
rõhk,pinnaühikule normaali sihis,B1
rähn,"tugeva peitelja noka, vetruva saba ja ronijalgadega puistulind",B2
räim,harilikult räim,B1
rändama,kasutuselt seoses suunatud liikumisega,B2
rängalt,jõulisel ja ägedal kombel,B2
räsima,"aja, murede vms pärast kannatusi tekitama",C1
rätsep,meeste ja naiste pealis- ja ülerõivaid valmistav oskustööline,B1
rääkima,konkreetset keelt või murret valdama,A1
röstima,toiduainet või toitu kuivalt kuumutama ja,C1
röökima,"kõvasti karjudes, kisendades rääkima, hüüdma või muu sellise",C1
röövima,kulutama või,B1
rühkima,"visalt edasi liikuma , kuhugi suunduma",C1
rühm,"17-24 lapsest koosnev hulk, kes käivad koos lasteaias",A2
rütm,helide korrapärane vaheldumine või kordumine,B1
saadik,riigi diplomaatiline esindaja teises riigis,B1
saadus,harilikult looduse vahendusel saadud toode,C1
saagima,saega lõikama,B1
saak,"see, mis saadakse või on saadud mingi",B1
saama,"kellelegi, millelegi tunda, kogeda, omandada tulema",A1
saar,igast küljest veega ümbritsetud,A2
saastama,"keskkonda heitgaaside, heitvete, tööstuslike jäätmete, radioaktiivsete ainetega kahjustama",B2
saatekiri,ametlik dokument kellegi kuhugi suunamiseks,B1
saatma,"mingil eesmärgil, otstarbel, põhjusel kuhugi suunama, lähetama, mingisse olukorda ajama vms",A2
saba,"tagumine, enamasti pärakust tagapool olev kehaosa",B1
sadam,veetranspordivahendite peatumiseks kohandatud veeala koos selle juurde kuuluva kaldalõiguga,A2
sagedamini,sagedamal määral,B2
sahver,väike ruum elumajas toidu panipaigaks,B2
saladus,sellisena säilitamise kohustus,B1
salaja,varjates,B1
salvestama,salve panema,B1
samaaegselt,"partiklina esinev, samal ajal öelduna, tehtuna",B2
samamoodi,ühel ja samal moel,B1
samas,"kiiresti lühikese aja jooksul, kõnealuse sündmusega samal ajahetkel",B1
samm,"jala või jalgade siirmisliigutusel kostev heli käimisel, jooksmisel, tantsimisel või muu liikumisel",A2
sanatoorium,kindla päevarežiimiga raviasutus harilikult kuurordis või soodsa kliimaga kaunis kohas,B2
sandaal,"rihm- või augustatud pealsega kerge suvejalats, mille nina, kand või küljed on lahti",B1
sanktsioon,abinõu õigusrikkuja vastu,B2
sarnaselt,"sarnasel, samasugusel viisil",B2
sarv,tugevakõlaline puhutav mänguriist,B1
sassi,"sellisel viisil, et pole korras",B2
sattuma,harilikult juhuslikult või ettekavatsematult kuhugi tulema või mingisse olukorda jõudma,B1
saun,"köetav hoone või ruum higistamiseks, vihtlemiseks, pesemiseks, ka muuks otstarbeks",A2
seadistama,seadmeid teatud otstarbeks kohandama ja seadisega varustama,C1
seadus,"reeglite kogu, mis reguleerib teatud tegevust",A2
seal,"esineb harilikult koos pronoomeniga ""mis"" möönvates, nõustuvates või muu sellise ütlustes",A1
sealkandis,"mingis nimetatud, viidatud kohas",B2
sealne,"kõnelejast eemal, kaugemal olev, seal asuv, esinev, toimiv vms",B1
sealsamas,vahetult pärast millegi toimumist või tol samal ajal,B2
seanss,"kindlaks määratud ajavahemik, mille vältel toimub mingi tegevus",B2
sebra,"eeslitaoline vöödiline loom Aafrika savannides, poolkõrbetes ja mägialadel",B2
seedima,"sallima, taluma, kannatama",B2
seejärel,"selle järel, pärast seda",B2
seeme,"seemnetaimede paljunemis- ja levimisvahend, milles paikneb taimeidu koos toitevarudega",B1
seen,kand- ja kottseente maapealne viljakeha,A1
seenior,seenioride vanuseklassi sportlane,B2
seeria,mitmeosalise filmi üks jagu,B1
seestpoolt,sisemiselt poolelt,B1
segadus,"paanika, arutu siia-sinna tormamine ja sagimine",B1
segama,midagi ringi liigutama,A2
segamini,ühenduses segamise või segunemisega,B1
segu,"aine, mis koosneb kahest või enamast kokkusegatud ainest",B2
seiklema,seiklusi otsima ja läbi tegema,B2
sein,"hoone v muu rajatise hrl püstne piirdetarind, mis võib täita ka kandetarindi ülesannet",A1
seis,"hoiak, asend, asetus, positsioon",B1
seisma,mingis kohas või seisundis alles olema,A1
seisukoht,koht seismiseks,B1
seisund,mingil ajahetkel inimeste või asjade olemisviis,B1
sekka,osutab mingisse tegevusse lülitumisele või lülitamisele,B2
sekkuma,millessegi toimuvasse osavõtmise või katkestamise eesmärgil vahele segama,B1
sektor,terviku osa või jaotus,B2
sektsioon,"üks torude süsteemi, masina, mööblieseme, ehitise või muu",B2
seletama,"jutustades kellestki või millestki ülevaadet või pilti andma, mõtet või ideed või muu sellise lahti mõtestama, looma kujutlust millestki",B1
selg,"kuju, asendi või ülesande poolest selga meenutav osa esemel, kehaosal või loodusobjektil",A1
selge,pilvitu või sombuta,A1
selgelt,vastuvaidlemist välistavana,A2
selgima,inimese kohta,C1
selgitama,"kindlaks tegema,",B1
seljakott,rihmade abil seljas kantav kott,A2
seltsima,kellegagi läbi käima,B2
seltsiv,inimestega kiiresti kohanev,B2
seltskond,"mingi sündmuse, olukorra, tegevuse või muuga seoses koos viibiv inimeste rühm",A2
seltskondlik,"seltskonnaga seotud, seltskonnas esinev, seltskonnale omane",B2
semester,pool õppeaastat kõrgkoolis või keskeriõppeasutuses,B2
seminar,õppeasutus õpetajate ettevalmistamiseks,A2
sent,"Eesti, ka mitme muu riigi",A1
seos,suhe asjade või sündmuste vahel,B1
seriaal,seeriatega saade,B2
serv,mingi tasapinna piir,B2
serviis,täielik valik ühte laadi kokkukuuluvaid lauanõusid,B2
sessioon,koosolekute periood,B2
sibul,laukude hulka kuuluv köögiviljataim,A1
sidur,masinaelement kahe võlli ühendamiseks ja lahutamiseks,B2
siga,"häbematu, jultunud, alatu inimene",A2
sigar,rullikeeratud vääristubakalehtedest tubakatoode,B2
sigaret,"tubakatoode, milles peenestatud vääristubaka rull on keeratud paberisse",B1
siht,puudest ja põõsastest puhastatud sirge maariba,B1
sihtima,"kuhugi või millegi poole püüdlema, kellekski saada tahtma",B2
sihvakas,"pikk, sirge ja sale, ilusa",B2
siid,siidiliblika rööviku siidinäärmeist erituvast kiudainest valmistatud kangas või niit,B1
siil,"öösiti tegutsev putuktoiduline imetaja, kelle seljapoolt katavad okkad",A2
siiralt,ausa väljendusviisiga,B2
siis,"väljendab imestust, hämmeldust",A1
sild,taha painutatud kehaasend seljati aluspinnaga,A1
silinder,"keha, mida piiravad silindriline pind ja kaks seda lõikavat paralleelset tasandit",B2
silitama,meeldivaid aistinguid tekitavalt mõjuma,B2
silt,"tahvel, plaat, sedel",A2
sinatama,"vestluskaaslase poole pöördumisel ""sina"" tarvitama",B2
sinna,"osutab kaugemal, kõnelejast eemal olevale kohale",A1
sinnapoole,mingis kindlas osutatud suunas,B2
sipelgas,kiletiivaliste seltsi kuuluv ühiseluline putukas,B1
sirkel,"kaheharuline riist ringjoonte ja kaarte joonestamiseks, lõikude mõõtmiseks ja jaotamiseks, pikkuste ülekandmiseks või detailide märkimiseks",B2
sirutama,"kellegi või millegi suunas, poole",B2
sisaldama,midagi enda sees või oma koostises omama,B1
sisemine,"millegi sees või piires kehtiv, esinev, ilmnev ja nii edasi",B1
sisemus,sisemine olemus,B2
sisendama,"kellelegi ideid, mõtteid või muu mõtteisse, meeltesse panema, kedagi milleski veenma",B2
sisenema,"jalgsi või millegagi sõites kuskile sisse, mingile",B1
sisepoliitiline,riigi sisemistele asjadele keskenduv,B2
sisse,"sisemusse, sissepoole, pealispinnast sügavamale või millestki ümbritsetuks, kaetuks, varjatuks",A1
sissepoole,"suunaga sisse, millegi sisemusse, millestki piiratud alale",B1
sissetulek,"palk, mida teenitakse või raha, mida regulaarselt saadakse",B1
sisukord,trükise jaotiste loetelu koos vastavate leheküljenumbritega,B1
sisustama,sisustama nt mingi tegevuse vms,B2
skandaal,avalik kõmuline pahandus või häbistav juhtum,B1
skeem,"mingi seadme, nähtuse, protsessi või muu sellise sisemiste seoste tinglik, lihtsustatud kujutis",B1
sobituma,sobima,B2
sodima,"ohtralt parandusi tehes või lohakalt vormistades kirjalikku tööd korratuks, mustaks tegema",B2
soe,"mõõdukalt kõrge, harilikult inimesele hästi vastuvõetava",B1
soine,"soole iseloomulik, liigniiske, pehme, tüma",B2
solidaarsus,huvide ühtsus,B2
solkima,"ära rikkuma, kehvaks, kõlbmatuks muutma",C1
solvang,näiteks solvav ütlus või tegu,B2
soojalt,südamlikul ja heatahtlikul moel,B2
soojendama,"heameelt tegema, liigutama, heldima panema",B2
soolane,"maitsmisel tuntavalt soola sisaldav, merevee maitsega",B1
sooritama,mingis tegevuses olema,B1
soov,mingi tahtmise või eelistuse väljendus,A1
soovima,heade soovide ütlemise kohta,A1
sopp,sisse- või väljaulatuv osa millestki,B2
sort,harilikult aretuse tulemusena saadav majanduslike ja bioloogiliste omaduste ning morfoloogiliste tunnuste poolest sarnaste taimede kogum,A2
spekuleerima,oma plaane millelegi rajama,B2
spordiklubi,"klubi, kus saab sportida",B1
sportima,"spordiga tegelema, korrapäraselt treenima või mingit spordiala harrastama",B2
staar,"väga kuulus, edukas näitleja, muusik, sportlane vms",B2
start,"lennuki, kosmoseraketi või muu sellise liikumahakkamine, ärasõit",B1
startima,võistlusliikumist alustama,B1
stažeerima,stažööriks olema,B2
statistika,arvandmeid koguv ja uuriv teadus,B1
statistiline,"statistikaga seotud, statistilisel arvutusel põhinev",B2
statistiliselt,statistilisel arvutusel põhinevana,B2
stiil,suhtlussituatsioonile ja -eesmärgile vastav keelekasutus,B1
strateegiline,strateegiasse puutuv,B2
streikima,kohustustest ja koostööst keelduma,B2
struktureerima,struktuurilt korrastama või liigendama,B2
struktuur,"mingi süsteemi ülesehituse, sisemiste seoste, koosseisu kohta",B1
stseen,"äge sõnavahetus, tüli, riid",B2
suhe,inimeste või riikide või muu vaheline kokkuleppeline ühendus,B1
suhtes,"püsivas paarisuhtes, aga mitte abielus",B1
suhtuma,"kellegi või millegi kohta midagi arvama, kellegi või millegi suhtes mingil seisukohal olema",B1
suitsema,liha või muu sellise kohta,B2
sujuvalt,kerge vaevaga,B2
sukelduma,"veepinnast allapoole, põhja suunas ujuma",B2
sukk,"jalga kattev, harilikult selle ümber liibuv pika säärega",B1
sula,"vedelas olekus, sulanud või sulatatud",B2
sulama,"tundeliseks, hellaks, lahkeks muutuma või selline olema",B1
sulanduma,"kokku, ühte sulama",B2
sulane,töötav meessoost maatööline,B2
sulatama,"millessegi liitma, sujuvalt ühtseks tervikuks ühendama",B1
sulgema,"kedagi või midagi kinniselt, vaba liikumist takistavalt ümbritsema",A2
summa,liitmise tulemus,A2
sundima,"millekski mõjutama, millelegi vältimatuks põhjuseks olema",B1
suplema,"sulistades, ujudes või sukeldudes end vees värskendama või puhastama",B2
suretama,elutuks või tuimaks tegema,B2
surfama,"lainelaual sõitma, lainelauasõitu harrastama",B2
suruma,kuhugi või millessegi mahutama,B2
suuliselt,sõnade abil öelduna,B2
suund,"üldine orientatsioon, asend ilmakaarte suhtes",B1
suunduma,teatud suunas paiknema või kulgema,B2
suur,"suuruse, hulga, mõõtmete, ulatuse või muu poolest üle keskmise",A1
suurelt,tublil ja tõhusal moel,B2
suurepäraselt,"nii hästi, kui võimalik, kõige paremini",B1
suuresti,suurel määral,B2
suurus,"millegi määr, ulatus, mõõt",A2
suusatama,suuskade abil lumel edasi liikuma,B1
suuteline,"mingiks teoks, ülesandeks vastavat temperamenti või kalduvust omav",B2
suutma,"võimeline olema, millegagi toime tulema, hakkama saama",A2
suvitama,suvepuhkust veetma,B2
sviiter,üle pea selga käiv harilikult kõrge kraega jämedast lõngast kampsun,A2
sõber,"isik, keda tead ja tunned ning usaldad",A1
sõbralik,sõbrale iseloomulik või sobilik,A2
sõbranna,naissoost sõber,A2
sõda,organiseeritu relvastatud võitlus eri riikide või rahvuste vahel,A2
sõidutama,"sõiduriistaga, sõidu- või veoloomaga edasi toimetama",B1
sõidutee,avalikuks kasutamiseks,A2
sõitma,liiklusvahendi või sõidukiga liikuma,A1
sõna,"keeleline üksus, mida keelt emakeelena valdajad suudavad eristada",A1
sõprus,"sõpradele iseloomulik vahekord, vastastikusele lugupidamisele, usaldusele, kiindumusele, huvide ühtsusele ja muu selline rajatud suhted või tunded",B1
sõudma,sõudepaadiga kuhugi toimetama,B2
säde,põleva või hõõguva aine üliväike,B2
särama,"puhaste, kirgaste värvidega silma hakkama, eretama",B2
säte,parameeter automaatikaseadme häälestamisel,B2
söödav,"selline, mis kõlbab süüa",B2
sööma,intensiivse tegevuse kohta,A1
söötma,"midagi söödavat andma, millegi söödavaga kostitama",B1
süda,"ringeelundkonna keskne lihaseline elund, mille kokkutõmbed panevad vere soontes liikuma",A2
sügav,ümbritsevast või külgnevast pinnast suhteliselt palju allapoole ulatuv,A2
sügaval,pealis- või übruse pinnast tunduvalt allpool,B2
sügavalt,"pealis- või ümbruse pinnast tunduvalt allapoole ulatuvalt, põhjani ulatuvalt",B1
sügavus,või eesmisest pinnast või äärealast taha- või sissepoole,B1
sügavuti,põhjalikul ja detailsel moel,B2
sügelema,"midagi väga teha tahtma, tegutsemist ihaldama",B1
sümboolne,"tingliku tähisena, millegi võrdkujuna, sümbolina käsitatav või toimiv",B2
sümfoonia,harilikult sümfooniaorkestrile loodud mitmeosaline sonaaditsükli vormis muusikateos,B2
sündima,"tekkima, arenema, kujunema",A1
sündmus,"miski, mis juhtub mingil hetkel mingis paigas",A2
sündmuskoht,"koht, kus mingi sündmus leiab aset",B2
sündroom,"sümptomite kompleks, haigusnähtude kogum",B2
sünnikoht,"koht, kus keegi on sündinud",B1
sünnipäev,"hrl peolauaga koosviibimine, et tähistada aasta võrra vanemaks saamist",A1
sünnipärane,sünnilt mingisse kategooriasse kuuluv,B2
süntees,"osade ühendamine, nendest terviku koostamine",B2
sünteetiline,sünteesi teel polümeeridest või muu lähteainetest saadud,B2
süsi,"põlemisel tekkinud urbne, jahtununa must tombuke",B2
süstal,süstimiseks ja vedelike kehaõõnest väljatõmbamiseks kasutatav riist,B2
süsteem,"plaanipärane ülesehitus, järjestus või tervik",A2
süžee,kujutavas kunstis kujutise objekt,B2
süvendama,intensiivsemaks muutma,B2
süü,"seisund peale valesti, halvasti tegemist",B1
süüdimatu,"JUR süüdimatusseisundis olev, vastutusvõimetu",B2
süüdistus,"kellegi vastu suunatud negatiivne väide, et see on mingi negatiivse sündmuse või tagajärje põhjustaja",B1
süütama,valgust sisse lülitama,B1
šampinjon,"lehikseente hulka kuuluv seen, mille mõnesid looduslikult kasvavaid või kultiveeritud liike kasutatakse toiduks",B1
šampoon,vedel juuste pesemisaine,A2
šotlane,šoti rahva esindaja,B1
šveitslane,šveitsi elanik,B1
žest,"tahtlikult rõhutatud, millelegi tähelepanu juhtimiseks mõeldud tegu",B2
žilett,ühe või mitme žiletiteraga mehaaniline raseerimisriist,B1
taamal,"asukoha poolest eemal, kaugel, tagapool",C1
taane,tühi ruum kirjarea alguses,B2
taasiseseisvuma,varem kaotatud iseseisvust tagasi saama,B2
tabama,"tähelepanu või muu haarama, millegagi köitma",B2
tabel,"ülevaatlik, harilikult lahtritena korrastatud andmete esitus",A2
taevakeha,taevas olevad ja nähtavad objektid,B2
taga,"teatud kauguses tagapool, tagumisest küljest tagapool",A1
tagala,sõdiva riigi ala väljaspool rindepiirkonda,B2
tagant,"tagantpoolt küljest, tagaküljelt",B1
tagantjärele,millestki toimuvast hiljem,B2
tagasi,mingi aja eest minevikus,A1
tagasihoidlik,"mitte suur, kuid piisav suurus või kogus",B1
taguma,"lööke andes või sellelaadsete liigutustega, ka hoogsalt, intensiivselt midagi tegema",B2
tagurdama,tagurpidi sõitma,B2
tagurpidi,suunaga taha poole,B1
tahe,"toekas, tahke, mitte vesine",B1
tahke,"mitte vedel ega gaasiline, püsiva ruumala ja kujuga",B1
tahvel,"kujuga õhem tükk mingit ainet või materjali, selline ese, plaat",B1
tahvelarvuti,"puute-ekraani sisse ehitatud arvuti. Tahvelarvutid võivad olla kas ainult Internetile spetsialiseeritud või ka täiemõõdulised üldotstarbelised personaalarvutid koos kõigi lauaarvuti juurde kuuluvate funktsioonidega. Nende iseloomulikuks jooneks on sisendseadmena kasutatav puuteekraan, millel töötatakse krihvli või sõrmega",A2
taim,"elusorganism, mida iseloomustab vaba liikumise võime puudumine",A1
takt,"sisepõlemismootori töötsükli osa, mille vältel kolb liigub ühest piirasendist teise",B2
taktika,mingi eesmärgi saavutamiseks koostatud tegevuskava,B1
tald,millegi kandev pind või osa,B1
taldrik,lauanõu toidu söömiseks ja serveerimiseks,A1
talitus,korraldav asutus või suurema asutuse struktuuriline alljaotus,B2
tallama,tallalauale või pedaalidele vajutades töötama,C1
talu,taluhoonete kohta,A2
talumatu,"selline, mida või keda on väga raske või võimatu välja kannatada",C1
talvituma,talve üle elama,C1
tampima,"tambitsa või muu riistaga korduvalt lööma, taguma või vajutama",C1
tankima,"kütust, määret, joogivett või muu vedellasti võtma",B2
tants,"meelelahutuslik tegevus, kus liigutusi tehakse muusika järgi",A1
tantsupidu,peamiselt tantsimiseks korraldatav seltskondlik koosviibimine,B1
taotlema,"tahet,soovi mingi tegevuse sooritamiseks esitama",B1
tariif,teatud kaupade kindlaksmääratud hind,B2
tarkus,aja jooksul tekkindu teadmised,A2
tarnima,eelsõlmitud lepingu alusel müüma,B2
tarvis,"puudu olevat soovitakse kasutusele võtta, käiku rakendada, vaja",B1
taskulamp,patareid vooluallikana kasutav väike kaasaskantav elektrilamp,B1
tass,harilikult sangaga varustatud väiksem jooginõu,A1
tasuta,ilma maksuta,A2
tavaliselt,enamusel juhtudest,A2
teadaolev,"selline, kelle või mille kohta on andmeid, keda või mida teatakse",B2
teadlane,mingi teadusala spetsialist,B1
teadlik,vaimselt tajuv ja reageeriv,B1
teadlikult,mõnikord ka kiusu pärast,B1
teaduslik,"teadustulemustel rajanev, teadusele toetuv",B1
teadvus,"psüühika võime peegeldada psüühikavälist maailma ja iseennast, teadmine ümbritseva ja enda kohta",B1
teadvustama,teadvusesse tooma,B2
teatejooks,jooks teatevõistlusena,B2
teater,"koht teatrietenduste andmiseks, harilikult teatrihoone",A1
teenima,ametis või teenistuses olema,B1
teenindama,teenuseid osutama,B1
teenistus,teatud laadi teenuseid osutav asutus,B2
tegelema,"mingil alal tegutsema või töötama, millegi kallal töötama",A2
tegelikult,mingi olukorra kohta tõenäosust väljendades,B1
tegema,"mingit tunnet, tundmust, aistingut, seisundit esile kutsuma",A1
tegevusetus,"juriitiliselt hoidumine sellisest tegevusest, milleks isik on õiguslikult kohustatud",B2
tegevuskoht,tegevuse toimumise koht,B2
teguviis,iseloomulik mood tegutseda v toimida,B2
tehas,masinaid kasutav tööstuslik tootmiskäitis,A2
tehniline,"millegi sooritamisse või sooritamise oskusesse puutuv, sellega seotud või sellest tulenev",A2
tehniliselt,"tehnika seisukohast, tehnika poolest",B2
tehnoloogia,tootmismenetlus või nende kogum,B1
teietama,"vestluskaaslase poole pöördumisel ""teie"" ütlema",B2
teinekord,mõnel korral,B2
teisaldama,"teisale toimetama, teise kohta ümber paigutama",C1
teisalt,"kahe asjaolu vastandamisel: teisest küljest, teiselt poolt",B2
teiseks,teisena,B1
teisisõnu,teisiti öeldes,B2
teisiti,teisel moel,B1
teistsugune,"teada olevast või järgnevas mainitavast erinev, teist laadi",B1
tekst,verbaalse loomingu kirjalik vorm,A1
telekanal,teatud kindel sagedusriba televisioonisaadete edasiandmiseks või vastuvõtmiseks,B1
televisioon,"süsteem, mis edastab kujutisi elektrisignaalide abil",B2
telg,"silindriline masinaosa, mis erinevalt võllist ei edasta pöördemomenti, vaid ainult toetab temal liikuvaid",B2
telk,kerge kinnine varjualune,B2
tellima,ametlikus korras välja kutsuma,A2
tellimus,vastav vormikohane taotlus või dokument,A2
tellis,paksu ja raske raamatu kohta,B2
tembeldama,"millelegi tõendavat, kinnitavat templit või märki lööma",C1
tempel,mittekristlike ja -islami usundite pühamu,B2
temperatuur,keha või keskkonna külmus- või kuumusaste,A1
teooria,"eri olukordades rakendatav teadmiste süsteem, mis seletab mingeid ilminguid",B2
teoreetik,"teooriaga tegelev isik, teoreetiliste küsimustega tegeleja",B2
teoreetiliselt,"teooriasse puutuvalt või kuuluvalt, sellega seotud, sellel põhineval viisil",B2
teos,loomingulise töö tulemus,B1
tera,tööriista või külmrelva lõikav põhiosa,B1
teraselt,"suure tähelepanuga, äärmiselt keskendunud moel",B2
terav,"õheneva serva või aheneva otsaga, kitsast serva, tippu või nurka moodustav",A2
teravalt,"seoses intensiivsete aistingute, maitsetega",B2
teravili,tärklise- ja valgurohkete viljade,B2
teravus,servade või punktide täpsus,B2
tere,kõige üldisem kohtumisel või kellegi poole pöördumisel kasutatav tervitussõna,A1
terminal,sadama või lennujaama kindla otstarbega osa,B1
terve,"heas tervises olev, mitte haige ega viga saanud",A1
tervelt,vigastamatuna,B1
tervik,"elementidest, osadest või muu koosnev koguhulk",B2
tervishoid,millegi tervena hoidmine,B2
tervitama,"tervitusi, häid soove edasi andma",A2
tervitus,"viisakas, heasoovlik sõnum kellelegi hea soovimiseks",B1
tihane,lühikese peenikese nokaga väike lind,B1
tihe,silmaga läbistamatu kohta,B1
tihedalt,võimalikult väikese vaheaja järel,B1
tihenema,tihedamaks muutuma,B2
tiib,õhus või vees liikumist võimaldav moodustis või sõiduki osa,B1
tiitel,"nimetus, mis tähistab staatust või funktsiooni",B1
tikk,"kindla otstarbega lühike, peenike, terav pulgake",B1
tikkima,"ühelaadsete asjadega tihedalt, väikeste vahedega katma",B2
tiksuma,käimise heli kuuldavale laskma,C1
tilkuma,tilkuvalt märg olema,B2
tint,"kirjutamiseks, samuti paljundamisel, printimisel jm",B2
tippima,"ühelaadseid asju ükshaaval kuhugi pistma, torkama või",B2
tippkohtumine,riigijuhtide kohtumine,B2
toetuma,mingile alusele või toele toetatud olema,B2
toimkond,rühm isikuid mingi ülesande täitmiseks,B2
toitlustama,"toitlust korraldama, toiduga varustama",B2
toitma,vajalikuga,B1
toll,pöidla laiusest või selle esimese lüli pikkusest tuletatud endisaegne pikkusühik,B1
tomat,peamiselt punaste lihakate viljadega köögivilja söödav vili,A1
tonn,"massiühik, 1000 kilogrammi",A2
tool,ühe inimese,A1
tooma,midagi või kedagi kusagilt kaugemalt kellelegi või kuhugi lähemale toimetama,A1
toonekurg,toonekureliste hulka kuuluv suur pikkade jalgade ja pika nokaga lind,B2
tooraine,töötlemiseks kasutatav hankiva tööstuse või põllumajanduse toode,B2
toppima,"peale pressima, pakkuma, sokutama",B2
tormama,"tormine, marune olema",B2
tormine,"tormi võimuses olev, tormitsev",B1
torn,kuplikujuline osa,B1
toru,"pikk, harilikult silinderjas õõnes ese vedelike või gaaside hoidmiseks ja transportimiseks",A2
traktor,mootorveok haake- või rippmasinate või -riistadega töötamiseks ning veoste teisaldamiseks,B1
tramm,jõetramm,A1
transport,"inimeste ja kaupade veoga tegelev majandusharu, veondus",B1
trell,"puurimisel käes hoitav lõikeriist, mida käitatakse käsitsi v mootori jõul",B2
trepp,"eri kõrgusel paiknevate tasandite vaheline astmestik, mis võimaldab jalakäijate liikumist",A2
triikima,tekstiilesemeid kuuma triikrauaga siledaks siluma ja pressima,B1
trio,kolmest interpreedist,B2
tross,metall- kiududest kokkukeerutatud painduv köis,B2
trotsima,"kangekaelselt, kiusakalt midagi mitte arvestama, millestki või kellestki mitte välja tegema või hoolima",C1
truu,abielu- ja armastussuhetega ühenduses,B1
trükis,"paberkandjal tiražeeritud, harilikult levitamiseks mõeldud toode",B2
trükkima,"teksti, jooniseid, pilte ja muu kujutisi trükivormilt paberile või muu materjalile paljundama, trükiseid valmistama",B1
tsirkus,"lõbustusasutus, kus esitatakse jõudu, julgust ja osavust nõudvaid ning koomilisi vaatemänge, samuti mustkunsti",B1
tsiviliseerima,"kultuuri levitama, kultuurseks tegema",B2
tsükkel,"alkohooliku korduv joomahoog, pidev alkoholitarvitamine",B2
tugev,suurt füüsilist jõudu omav või ilmutav,A1
tugevdama,"tugevaks tegema, suuremaks või tõhusamaks muutma",B1
tugiisik,nõustav isik,B2
tuiskama,"kuhugi kiiresti liikuma, kihutama",B2
tulevane,tulevane abikaasa,B1
tuludeklaratsioon,isikutulumaksu arvutaise alusdokument,B2
tulvil,"väga täis, üleni täis",C1
tume,"naha, vere kohta",A1
tundmatu,"selline, mida või keda ei tunta, millest või kellest midagi ei teata",B1
tung,"suur soov midagi saavutada, kuhugi pääseda",B2
